_GUARD_IS_TRUE_POP,_LOAD_FAST_1
_SET_IP,_BINARY_OP_SUBTRACT_INT
_BINARY_OP_SUBTRACT_FLOAT,_LOAD_FAST_1
_LOAD_FAST_3,_LOAD_CONST_INLINE_BORROW
_ITER_NEXT_TUPLE,_STORE_FAST_4
_STORE_FAST_3,_LOAD_FAST_2
_LOAD_ATTR_METHOD_WITH_VALUES,_SET_IP
_CHECK_FUNCTION,_LOAD_CONST_INLINE
_CHECK_VALIDITY_AND_SET_IP,_CHECK_FUNCTION_EXACT_ARGS
_LOAD_FAST_2,_LOAD_FAST_5
_LOAD_CONST_INLINE_WITH_NULL,_LOAD_FAST_2
_ITER_NEXT_RANGE,_STORE_FAST_4
_STORE_FAST_2,_LOAD_FAST_2
_STORE_FAST_5,_STORE_FAST_6
_RESUME_CHECK,_LOAD_FAST_1
_CHECK_STACK_SPACE,_INIT_CALL_PY_EXACT_ARGS_2
_INIT_CALL_PY_EXACT_ARGS_2,_SAVE_RETURN_OFFSET
_CHECK_VALIDITY,_UNPACK_SEQUENCE_TUPLE
_GUARD_IS_FALSE_POP,_LOAD_FAST
_GUARD_IS_FALSE_POP,_JUMP_TO_TOP
_BINARY_OP_MULTIPLY_INT,_STORE_FAST
_GUARD_TYPE_VERSION,_CHECK_ATTR_WITH_HINT
_CHECK_ATTR_WITH_HINT,_LOAD_ATTR_WITH_HINT
_BINARY_OP_MULTIPLY_FLOAT,_LOAD_FAST
_POP_TOP,_LOAD_FAST_1
_LOAD_CONST_INLINE_WITH_NULL,_LOAD_FAST_3
_LOAD_FAST_1,_LOAD_FAST_0
_LOAD_FAST_4,_LOAD_FAST_0
_STORE_FAST_3,_JUMP_TO_TOP
_BINARY_OP_MULTIPLY_INT,_LOAD_CONST_INLINE_BORROW
_LOAD_FAST_4,_LOAD_FAST_3
_BINARY_SUBSCR_LIST_INT,_SET_IP
_LOAD_ATTR_WITH_HINT,_CHECK_VALIDITY
_STORE_FAST_1,_SET_IP
_LOAD_FAST_0,_COPY
_LOAD_CONST_INLINE,_EXIT_TRACE
_GUARD_IS_TRUE_POP,_LOAD_CONST_INLINE
_COPY,_GUARD_TYPE_VERSION
_BINARY_OP_SUBTRACT_FLOAT,_SWAP
_GUARD_IS_TRUE_POP,_LOAD_CONST_INLINE_WITH_NULL
_COMPARE_OP,_CHECK_VALIDITY
_LOAD_CONST_INLINE,_STORE_FAST
_LOAD_FAST_6,_CHECK_FUNCTION
_STORE_FAST,_LOAD_CONST_INLINE_WITH_NULL
_BINARY_OP_SUBTRACT_INT,_SWAP
_LOAD_ATTR_INSTANCE_VALUE_0,_LOAD_FAST_4
_GUARD_TYPE_VERSION,_STORE_ATTR_SLOT
_CHECK_VALIDITY,_STORE_FAST_2
_LOAD_FAST,_EXIT_TRACE
_RESUME_CHECK,_LOAD_CONST_INLINE_BORROW
_ITER_NEXT_LIST,_STORE_FAST_1
_UNPACK_SEQUENCE_TUPLE,_STORE_FAST
_RESUME_CHECK,_LOAD_CONST_INLINE
_LOAD_CONST_INLINE_WITH_NULL,_LOAD_FAST_0
_LOAD_FAST_1,_UNPACK_SEQUENCE_TUPLE
_SET_IP,_COMPARE_OP
_STORE_FAST_4,_STORE_FAST_5
_STORE_FAST_0,_LOAD_FAST_0
_BINARY_OP_ADD_FLOAT,_STORE_FAST
_UNPACK_SEQUENCE_TUPLE,_STORE_FAST_5
_CHECK_VALIDITY,_CHECK_FUNCTION
_BINARY_SLICE,_CHECK_VALIDITY
_STORE_ATTR_SLOT,_CHECK_VALIDITY
_UNPACK_SEQUENCE_TWO_TUPLE,_STORE_FAST_4
_LOAD_CONST_INLINE,_LOAD_FAST_0
_LOAD_FAST_1,_LOAD_FAST_6
_LOAD_FAST_7,_PUSH_NULL
_BINARY_OP_ADD_INT,_LOAD_FAST_5
_GUARD_KEYS_VERSION,_LOAD_ATTR_NONDESCRIPTOR_WITH_VALUES
_STORE_FAST_1,_LOAD_FAST_1
_LOAD_FAST_4,_COPY
_LOAD_FAST_6,_SET_IP
_CHECK_VALIDITY,_STORE_FAST_4
_LOAD_FAST_2,_EXIT_TRACE
_GUARD_IS_TRUE_POP,_LOAD_FAST
_CHECK_VALIDITY,_BINARY_SUBSCR_LIST_INT
_BINARY_OP_ADD_INT,_LOAD_FAST_0
_LOAD_FAST,_TO_BOOL_BOOL
_PUSH_NULL,_LOAD_CONST_INLINE_BORROW
_PUSH_NULL,_LOAD_FAST_4
_LOAD_FAST_2,_GUARD_IS_FALSE_POP
_LOAD_CONST_INLINE_BORROW,_LOAD_FAST_1
_COPY,_TO_BOOL_BOOL
_CHECK_VALIDITY_AND_SET_IP,_LIST_APPEND
_STORE_FAST_4,_LOAD_FAST_3
_CHECK_VALIDITY,_STORE_FAST_1
_LOAD_FAST_4,_LOAD_FAST_1
_SET_IP,_CALL_METHOD_DESCRIPTOR_FAST
_CALL_METHOD_DESCRIPTOR_FAST,_CHECK_PERIODIC
_LOAD_ATTR_METHOD_NO_DICT,_LOAD_FAST_0
_BINARY_OP_ADD_FLOAT,_STORE_FAST_3
_CHECK_VALIDITY_AND_SET_IP,_CALL_BUILTIN_FAST
_LOAD_FAST,_LOAD_FAST_7
_ITER_NEXT_LIST,_STORE_FAST_3
_LOAD_FAST_5,_EXIT_TRACE
_LOAD_FAST,_CHECK_FUNCTION
_BINARY_OP_MULTIPLY_FLOAT,_BINARY_OP_SUBTRACT_FLOAT
_SWAP,_GUARD_TYPE_VERSION
_STORE_ATTR,_CHECK_VALIDITY
_LOAD_FAST_0,_GUARD_BOTH_INT
_LOAD_FAST_4,_BINARY_SUBSCR_LIST_INT
_BINARY_OP_ADD_INT,_SWAP
_LOAD_CONST_INLINE,_IS_OP
_IS_OP,_EXIT_TRACE
_BINARY_OP_MULTIPLY_FLOAT,_STORE_FAST
_BINARY_OP_ADD_FLOAT,_LOAD_FAST_0
_PUSH_NULL,_LOAD_FAST
_LOAD_CONST_INLINE,_PUSH_NULL
_CHECK_VALIDITY_AND_SET_IP,_STORE_ATTR
_CHECK_VALIDITY,_GUARD_TYPE_VERSION
_LOAD_FAST_6,_LOAD_FAST_7
_STORE_FAST_5,_LOAD_FAST_2
_LOAD_FAST_1,_LOAD_FAST_3
_LOAD_FAST_3,_LOAD_CONST_INLINE
_IS_OP,_GUARD_IS_FALSE_POP
_COMPARE_OP_INT,_EXIT_TRACE
_STORE_FAST_4,_LOAD_FAST_0
_LOAD_FAST_1,_BINARY_SUBSCR_TUPLE_INT
_CHECK_STACK_SPACE,_INIT_CALL_PY_EXACT_ARGS_3
_INIT_CALL_PY_EXACT_ARGS_3,_SAVE_RETURN_OFFSET
_ITER_NEXT_LIST,_STORE_FAST_2
_TO_BOOL_LIST,_GUARD_IS_TRUE_POP
_LOAD_CONST_INLINE_WITH_NULL,_LOAD_FAST
_LOAD_CONST_INLINE_BORROW,_POP_FRAME
_CALL_BUILTIN_CLASS,_CHECK_PERIODIC
_LOAD_FAST_3,_LOAD_FAST_2
_COMPARE_OP_FLOAT,_CHECK_VALIDITY
_GUARD_BOTH_FLOAT,_COMPARE_OP_FLOAT
_LOAD_ATTR_METHOD_WITH_VALUES,_LOAD_FAST_5
_STORE_FAST_2,_CHECK_FUNCTION
_STORE_FAST_2,_LOAD_FAST_0
_TO_BOOL_BOOL,_EXIT_TRACE
_SET_IP,_GUARD_BOTH_FLOAT
_SET_IP,_LIST_APPEND
_SET_IP,_CALL_BUILTIN_CLASS
_CHECK_VALIDITY,_LOAD_FAST_7
_LOAD_FAST,_LOAD_FAST_5
_GUARD_BOTH_INT,_BINARY_OP_MULTIPLY_INT
_STORE_ATTR_INSTANCE_VALUE,_LOAD_FAST_0
_BINARY_OP_ADD_INT,_COPY
_LOAD_FAST_3,_LOAD_FAST_1
_LOAD_CONST_INLINE_BORROW,_BINARY_SUBSCR_TUPLE_INT
_GUARD_IS_FALSE_POP,_POP_TOP
_POP_TOP,_LOAD_FAST
_GUARD_IS_FALSE_POP,_LOAD_FAST_4
_CHECK_VALIDITY_AND_SET_IP,_CONTAINS_OP_DICT
_LOAD_FAST_5,_LOAD_FAST_4
_CHECK_VALIDITY,_STORE_FAST_0
_STORE_FAST_7,_LOAD_FAST_6
_UNPACK_SEQUENCE_TWO_TUPLE,_STORE_FAST
_LOAD_ATTR_INSTANCE_VALUE_0,_LOAD_FAST_2
_LOAD_FAST_6,_LOAD_FAST_4
_STORE_ATTR_INSTANCE_VALUE,_LOAD_FAST_2
_LOAD_FAST_1,_BINARY_SUBSCR_LIST_INT
_BINARY_SUBSCR,_CHECK_VALIDITY_AND_SET_IP
_CHECK_FUNCTION,_LOAD_CONST_INLINE_BORROW_WITH_NULL
_SET_IP,_LOAD_CONST_INLINE_BORROW
_STORE_FAST,_CHECK_FUNCTION
_UNPACK_SEQUENCE_TWO_TUPLE,_STORE_FAST_3
_RESUME_CHECK,_LOAD_CONST_INLINE_WITH_NULL
_LOAD_FAST_5,_COPY
